date, time, open, high, low, close, volume, currency
2018.08.12,06:10,6318.65000000,6325.18000000,6312.17000000,6318.26000000,14.23166900,BTCUSDT
2018.08.12,06:15,6324.97000000,6329.78000000,6318.25000000,6321.22000000,16.94743500,BTCUSDT
2018.08.12,06:20,6326.58000000,6333.55000000,6321.00000000,6323.99000000,18.23800000,BTCUSDT
2018.08.12,06:25,6321.36000000,6323.36000000,6312.03000000,6315.60000000,33.16986500,BTCUSDT
2018.08.12,06:30,6312.96000000,6315.60000000,6312.23000000,6315.00000000,31.18789300,BTCUSDT
2018.08.12,06:35,6316.31000000,6330.00000000,6316.31000000,6318.37000000,60.30769900,BTCUSDT
2018.08.12,06:40,6318.62000000,6333.62000000,6311.69000000,6333.62000000,126.72548900,BTCUSDT
2018.08.12,06:45,6333.62000000,6350.00000000,6328.95000000,6342.05000000,173.90564900,BTCUSDT
2018.08.12,06:50,6342.05000000,6360.00000000,6338.79000000,6345.82000000,185.06279700,BTCUSDT
2018.08.12,06:55,6345.82000000,6347.98000000,6334.11000000,6339.81000000,57.26756200,BTCUSDT
2018.08.12,07:00,6338.00000000,6347.95000000,6337.59000000,6343.11000000,51.80918000,BTCUSDT
2018.08.12,07:05,6343.38000000,6349.54000000,6342.58000000,6345.00000000,11.81118600,BTCUSDT
2018.08.12,07:10,6339.66000000,6340.84000000,6309.19000000,6309.19000000,17.96608000,BTCUSDT
2018.08.12,07:15,6315.72000000,6323.51000000,6313.39000000,6316.05000000,16.23172500,BTCUSDT
2018.08.12,07:20,6309.98000000,6320.00000000,6306.64000000,6309.75000000,16.02082800,BTCUSDT
2018.08.12,07:25,6307.01000000,6318.89000000,6302.55000000,6312.00000000,21.02430700,BTCUSDT
2018.08.12,07:30,6315.44000000,6332.64000000,6307.00000000,6328.65000000,35.65216200,BTCUSDT
2018.08.12,07:35,6331.37000000,6334.97000000,6320.10000000,6334.97000000,38.12157800,BTCUSDT
2018.08.12,07:40,6334.94000000,6336.72000000,6327.40000000,6330.00000000,56.09095200,BTCUSDT
2018.08.12,07:45,6330.64000000,6337.16000000,6322.01000000,6329.85000000,36.39702900,BTCUSDT
2018.08.12,07:50,6332.99000000,6333.47000000,6326.74000000,6330.92000000,78.24612100,BTCUSDT
2018.08.12,07:55,6330.41000000,6331.37000000,6319.00000000,6320.74000000,173.01949500,BTCUSDT
2018.08.12,08:00,6319.99000000,6322.55000000,6307.13000000,6315.29000000,120.86226000,BTCUSDT
2018.08.12,08:05,6320.01000000,6322.55000000,6300.11000000,6307.37000000,134.15438800,BTCUSDT
2018.08.12,08:10,6310.00000000,6310.00000000,6290.08000000,6292.78000000,142.49100500,BTCUSDT
2018.08.12,08:15,6289.16000000,6289.16000000,6271.94000000,6284.53000000,124.92407900,BTCUSDT
2018.08.12,08:20,6285.75000000,6307.95000000,6284.55000000,6302.04000000,119.76343600,BTCUSDT
2018.08.12,08:25,6302.01000000,6308.84000000,6290.04000000,6308.51000000,47.83525800,BTCUSDT
2018.08.12,08:30,6308.14000000,6309.00000000,6293.60000000,6300.71000000,100.06401800,BTCUSDT
2018.08.12,08:35,6300.71000000,6307.65000000,6295.76000000,6303.01000000,148.71300500,BTCUSDT
2018.08.12,08:40,6300.67000000,6315.00000000,6300.66000000,6311.17000000,184.69421100,BTCUSDT
2018.08.12,08:45,6307.49000000,6310.99000000,6300.89000000,6306.75000000,116.19199800,BTCUSDT
2018.08.12,08:50,6306.75000000,6309.93000000,6304.00000000,6306.07000000,29.87910800,BTCUSDT
2018.08.12,08:55,6306.07000000,6308.79000000,6304.09000000,6304.32000000,23.50202500,BTCUSDT
2018.08.12,09:00,6304.33000000,6305.20000000,6293.99000000,6295.00000000,22.10754300,BTCUSDT
2018.08.12,09:05,6294.01000000,6294.02000000,6288.09000000,6291.77000000,68.81477800,BTCUSDT
2018.08.12,09:10,6295.56000000,6299.23000000,6289.66000000,6293.01000000,74.56137900,BTCUSDT
2018.08.12,09:15,6293.01000000,6310.71000000,6291.23000000,6308.25000000,67.48682300,BTCUSDT
2018.08.12,09:20,6306.56000000,6314.16000000,6304.00000000,6311.80000000,57.63022000,BTCUSDT
2018.08.12,09:25,6313.00000000,6317.99000000,6308.01000000,6308.10000000,26.95754400,BTCUSDT
2018.08.12,09:30,6314.32000000,6325.96000000,6312.04000000,6321.00000000,48.59190200,BTCUSDT
2018.08.12,09:35,6318.67000000,6330.00000000,6314.01000000,6326.01000000,43.29242100,BTCUSDT
2018.08.12,09:40,6326.29000000,6340.00000000,6326.29000000,6330.71000000,46.72846300,BTCUSDT
2018.08.12,09:45,6329.19000000,6332.02000000,6315.00000000,6321.25000000,66.88074700,BTCUSDT
2018.08.12,09:50,6319.97000000,6320.00000000,6309.00000000,6320.00000000,84.85911300,BTCUSDT
2018.08.12,09:55,6320.01000000,6329.00000000,6320.00000000,6326.56000000,174.31667100,BTCUSDT
2018.08.12,10:00,6329.06000000,6329.97000000,6309.00000000,6313.71000000,70.56388200,BTCUSDT
2018.08.12,10:05,6314.07000000,6315.00000000,6301.00000000,6308.09000000,38.77596200,BTCUSDT
2018.08.12,10:10,6308.08000000,6319.13000000,6306.34000000,6315.54000000,91.55658100,BTCUSDT
2018.08.12,10:15,6317.29000000,6332.71000000,6315.57000000,6328.30000000,95.23304300,BTCUSDT
2018.08.12,10:20,6327.09000000,6348.00000000,6325.89000000,6337.98000000,137.87509400,BTCUSDT
2018.08.12,10:25,6337.55000000,6350.25000000,6320.00000000,6326.86000000,189.32337700,BTCUSDT
2018.08.12,10:30,6328.19000000,6338.02000000,6322.34000000,6336.04000000,75.92623300,BTCUSDT
2018.08.12,10:35,6337.03000000,6343.01000000,6331.00000000,6331.62000000,78.53907700,BTCUSDT
2018.08.12,10:40,6332.22000000,6338.41000000,6331.42000000,6336.51000000,33.47970800,BTCUSDT
2018.08.12,10:45,6341.16000000,6348.69000000,6336.68000000,6336.68000000,25.30495300,BTCUSDT
2018.08.12,10:50,6345.56000000,6345.56000000,6325.75000000,6329.65000000,23.66622900,BTCUSDT
2018.08.12,10:55,6325.07000000,6331.82000000,6325.00000000,6331.82000000,43.14389900,BTCUSDT
2018.08.12,11:00,6331.23000000,6333.99000000,6329.71000000,6332.00000000,14.60596700,BTCUSDT
2018.08.12,11:05,6333.09000000,6334.64000000,6301.61000000,6309.17000000,31.96911700,BTCUSDT
2018.08.12,11:10,6317.45000000,6318.59000000,6306.77000000,6312.00000000,46.61600800,BTCUSDT
2018.08.12,11:15,6311.50000000,6319.59000000,6310.02000000,6318.00000000,29.74088100,BTCUSDT
2018.08.12,11:20,6318.01000000,6324.96000000,6317.72000000,6317.73000000,24.54039500,BTCUSDT
